dataset,original_total_columns,extracted_total_columns,coverage_percent,has_paramcd,has_aval,has_avalc,has_any_value,n_paramcd_extracted,paramcd_extracted,is_100_percent_coverage
ADAE_SAS7BDAT,102,101,99.02,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADBDC_SAS7BDAT,45,97,215.56,TRUE,TRUE,TRUE,TRUE,56,"ANTITNF, ATNFVEDO, B_BCS, B_BCSM, B_BDP, B_BDPM, B6MP, BALLCORT, BAMINO, BAZA, BCMED, BCORT, BCORTM, BIMM, BIOEXPER, BIOFAIL, BIONAIVE, BMETHO, CALPRMBL, CALPROBL, CRPBL, CRPMBL, DEPECORT, DISDURN, DISEXTBL, DISSEVBL, ENDOBL, EXTINTBL, HEIGHTBL, IBDQBLI, IBDQBLM, INTO6MP, INTOCORT, LTFBL, LTFMBL, MAYOBL, OANTITNF, OTNINTOL, OTNPNRSP, OTNSNRSP, RDIALL, RDICORT, REFR6MP, REFRCORT, RI6MPAZA, TFVEINTO, TFVEPNRS, TFVESNRS, TNFINTOL, TNFPNRSP, TNFSNRSP, VEDINTOL, VEDOLIZ, VEDPNRSP, VEDSNRSP, WEIGHTBL",TRUE
ADCHEM_SAS7BDAT,83,111,133.73,TRUE,TRUE,TRUE,TRUE,19,"ALB, ALP, ALT, AST, BILDIR, BILI, BUN, CA, CL, CREAT, FSH, HBVVLD, HCG, HIV1NUAC, HIV2NUAC, K, PHOS, PROT, SODIUM",TRUE
ADCM_SAS7BDAT,32,54,168.75,TRUE,FALSE,TRUE,TRUE,25,"ADALIMUM, aminmed, antibmed, AZATHIOP, BALSALAZ, biomed, BUDESONI, CIPROFLO, CORTICO, CYCLOSPO, GOLIMUMA, IMMUMED, INFLIXIM, MESALAMI, METHOTRE, METRONID, MYCOPHEN, OLSALAZI, RIFAXIMI, SIROLIMU, SIX_MP, SULFASAL, TACROLIM, UCMEDall, VEDOLIZU",TRUE
ADCORT_SAS7BDAT,34,33,97.06,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADDEATH_SAS7BDAT,38,37,97.37,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADDS_SAS7BDAT,64,63,98.44,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADDV_SAS7BDAT,53,52,98.11,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADECON_SAS7BDAT,56,71,126.79,TRUE,TRUE,FALSE,TRUE,10,"ACTIMP, ACTIMPTF, IMPWOKTF, IMPWORK, MISWOKTF, MISWORK, OVEWOKTF, OVEWORK, PRODVAS, PROVASTF",TRUE
ADEFF_SAS7BDAT,41,90,219.51,TRUE,TRUE,TRUE,TRUE,52,"CORTD30, CORTD7, CORTD90, CORTDAYS, CTD30LTF, CTD7LTF, CTD90LTF, CTW44LTF, DRMPM44, EHFWK44, EHLW44, EHWK0M, EHWK44, FRIABW44, IBD16A44, IBD16T44, IBD20A44, IBD20T44, IBDQRM44, IBDRMT44, MRMSY44, MUDISW44, MULDIS44, REMW44GL, REMW44US, RESPT44, RESPTL44, RESPW44, RM44GLS1, RM44GLS2, RM44GLS4, RM44GLS5, RM44GLS6, RM44GLS8, RM44USS1, RM44USS2, RM44USS4, RM44USS5, RM44USS6, RM44USS8, RM44USS9, RMF1W44F, RMF2W44F, RMSF1W44, RMSF2W44, RMTH44GL, RMTH44US, RMW44GL0, RSPD1W44, RSPD2W44, SMCS5ITF, SPCS5ITF",TRUE
ADEQ5D_SAS7BDAT,56,79,141.07,TRUE,TRUE,FALSE,TRUE,14,"EQ5D, EQ5D01, EQ5D01TF, EQ5D02, EQ5D02TF, EQ5D03, EQ5D03TF, EQ5D04, EQ5D04TF, EQ5D05, EQ5D05TF, EQ5D06, EQ5D06TF, EQ5DTF",TRUE
ADEX_SAS7BDAT,89,86,96.63,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADHEMA_SAS7BDAT,80,131,163.75,TRUE,TRUE,TRUE,TRUE,42,"ANISO, BASO, BASOLE, ELLIPCY, EOS, EOSLE, GRANIM, HCT, HGB, HOWJOL, HPORBC, LYM, LYMAT, LYMATLE, LYMLE, MACROCYT, METAMY, METAMYLE, MICROCY, MONO, MONOLE, MYCY, MYCYLE, NEUTB, NEUTBLE, NEUTSG, NEUTSGLE, PLAT, POIKILO, POLYCHR, PROMONLE, PROMONO, RBC, RBCMORPH, RBCNURBC, ROULEAUX, SCHISTO, SCKLCE, STIPBASO, TEARDCY, TRGTCE, WBC",TRUE
ADHIST_SAS7BDAT,33,36,109.09,TRUE,FALSE,TRUE,TRUE,6,"HSTHL0M, HSTHLW44, MHL0M, MHLFW44, MHLLW44, MHLW44",TRUE
ADHIST1_SAS7BDAT,33,42,127.27,TRUE,TRUE,FALSE,TRUE,6,"HTASMB, HTASMW44, HTSSMB, HTSSMW44, TTHTMB, TTHTMW44",TRUE
ADHIST2_SAS7BDAT,34,43,126.47,TRUE,TRUE,TRUE,TRUE,12,"HHD1MB, HHD2MB, HHD3MB, HISD1W44, HISD2W44, HISD3W44, HISD4W44, MUCD1W44, MUCD2W44, MUCD3W44, MUCD4W44, RHIW44",TRUE
ADHO_SAS7BDAT,45,44,97.78,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADIBDQ_SAS7BDAT,52,69,132.69,TRUE,TRUE,TRUE,TRUE,13,"IBD16IMP, IBD20IMP, IBDBOTCF, IBDEMTCF, IBDQB, IBDQE, IBDQRM, IBDQSF, IBDQSY, IBDQTCF, IBDQTOT, IBDSFTCF, IBDSYTCF",TRUE
ADIS_SAS7BDAT,56,60,107.14,TRUE,TRUE,TRUE,TRUE,10,"NVSCR, NVSPEC, NVTITR, SMADAST, SMNABST, SPINHIB, SUADAST, SUNABST, SUPTITR, TITER",TRUE
ADLBEF_SAS7BDAT,57,78,136.84,TRUE,TRUE,TRUE,TRUE,18,"CALLNORM, CALNORM, CALPL, CALPRO, CALPT, CALTNORM, CRP, CRPL, CRPLNORM, CRPLTF, CRPNORM, CRPTNORM, LTF, LTFL, LTFLNORM, LTFNORM, LTFT, LTFTNORM",TRUE
ADMAYO_SAS7BDAT,57,111,194.74,TRUE,TRUE,TRUE,TRUE,45,"ABSSLE3, ABSSTLL, ABSSTLTF, ABSSTOOL, ENCSCORE, ENLSCLTF, ENLSCORE, ENLSCORL, ENSCOLTF, ENSCORE, ENSCOREL, MAYO, MAYOL, MAYOLE, MAYOLEL, MAYOLETF, MAYOLTF, MMAYO, MMAYOL, MMAYOLTF, NUMMAYO, NUMMAYOL, NUMMMAYO, NUMPMAYO, PGSCOLTF, PGSCORE, PGSCOREL, PMAYO, PMAYOL, PMAYOLTF, RBSCORE, RBSCOREL, RBSCORTF, RESP, RESPCAL, RESPLE, RMGL, RMLGL, RMLUS, RMP, RMSY, RMUS, SFSCORE, SFSCOREL, SFSCORTF",TRUE
ADMH_SAS7BDAT,52,51,98.08,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADPC_SAS7BDAT,66,61,92.42,TRUE,TRUE,TRUE,TRUE,1,CONC,FALSE
ADSAF_SAS7BDAT,56,60,107.14,TRUE,TRUE,FALSE,TRUE,9,"CUMDOSE, DURFUPM, DURFUPYR, TINJISR, TINJISRP, TINJISRU, TNUMINJ, TNUMPSC, TNUMUSC",TRUE
ADSF36_SAS7BDAT,52,88,169.23,TRUE,TRUE,TRUE,TRUE,22,"SMCS, SMCSIMPC, SMCSLTF, SNBP, SNBPLTF, SNGH, SNGHLTF, SNMH, SNMHLTF, SNPF, SNPFLTF, SNRE, SNRELTF, SNRP, SNRPLTF, SNSF, SNSFLTF, SNVT, SNVTLTF, SPCS, SPCSIMPC, SPCSLTF",TRUE
ADSG_SAS7BDAT,44,43,97.73,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADSL_SAS7BDAT,107,106,99.07,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADTFI_SAS7BDAT,41,38,92.68,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADTFM_SAS7BDAT,31,28,90.32,FALSE,FALSE,FALSE,FALSE,0,"",FALSE
ADTTE_SAS7BDAT,34,37,108.82,TRUE,TRUE,FALSE,TRUE,6,"TTCOLEMS, TTCOLEMY, TTHOSP, TTRESP, TTRMGL, TTRMUS",TRUE
ADUCEIS_SAS7BDAT,56,63,112.5,TRUE,TRUE,TRUE,TRUE,7,"BLEEDING, EROSION, UCEIS, UCEISL, UCEISLE4, UCEISLTF, VASCULAR",TRUE
ADVS_SAS7BDAT,55,57,103.64,TRUE,TRUE,FALSE,TRUE,7,"DIABP, HEIGHT, HR, RESP, SYSBP, TEMP, WEIGHT",TRUE
ADVSCORT_SAS7BDAT,43,42,97.67,TRUE,TRUE,FALSE,TRUE,3,"CORTDL, CORTDLTF, CORTDUS",FALSE
